College name,College url,Course name,Course url,Course ID,Highest rank to receive an offer - ATAR,Median rank to receive an offer - ATAR,Lowest rank to receive an offer - ATAR,Highest rank to receive an offer - Selection Rank,Median rank to receive an offer - Selection Rank,Lowest rank to receive an offer - Selection Rank,Campus name,Campus latitude,Campus longitude,Intake year,Total students,Campus ID,Campus Code,Institution Code
TAFE Queensland,https://www.courseseeker.edu.au/institutions/tafe-queensland,Advanced Diploma of Electronics and Communications Engineering - on campus,https://www.courseseeker.edu.au/courses/advanced-diploma-of-electronics-and-communications-engineering-on-campus-QTAC597292,QTAC597292,,,,,,,Eagle Farm,-27.43225500,153.08635500,,,4450-TE,TE,4450
TAFE Queensland,https://www.courseseeker.edu.au/institutions/tafe-queensland,Advanced Diploma of Engineering - on campus,https://www.courseseeker.edu.au/courses/advanced-diploma-of-engineering-on-campus-QTAC596942,QTAC596942,,,,,,,Acacia Ridge,-27.58605000,153.03254600,,,4450-TC,TC,4450
Moore Theological College,https://www.courseseeker.edu.au/institutions/moore-theological-college,"Advanced Diploma of Bible, Mission and Ministry",https://www.courseseeker.edu.au/courses/advanced-diploma-of-bible-mission-and-ministry-UACADM0006,UACADM0006,,,,,,,Newtown Campus,-33.89152000,151.18785000,2022,28,4338-NE,NE,4338
Edith Cowan University,https://www.courseseeker.edu.au/institutions/edith-cowan-university,Advanced Diploma of Dance (Elite Performance),https://www.courseseeker.edu.au/courses/advanced-diploma-of-dance-elite-performance-TISCEDADD,TISCEDADD,,,,,,,WAAPA,-31.91823000,115.86846200,2021,,2235-EA,EA,2235
TAFE Queensland,https://www.courseseeker.edu.au/institutions/tafe-queensland,Advanced Diploma of Engineering Technology - Electrical - on campus,https://www.courseseeker.edu.au/courses/advanced-diploma-of-engineering-technology-electrical-on-campus-QTAC597952,QTAC597952,,,,,,,Eagle Farm,-27.43225500,153.08635500,,,4450-TE,TE,4450
Perth Bible College,https://www.courseseeker.edu.au/institutions/perth-bible-college,Advanced Diploma of Ministry,https://www.courseseeker.edu.au/courses/advanced-diploma-of-ministry-TISCPBADM,TISCPBADM,,,,,,,Perth,-31.87239700,115.76641300,2018,,4360-PB,PB,4360
Edith Cowan University,https://www.courseseeker.edu.au/institutions/edith-cowan-university,Advanced Diploma of Live Production and Management Services,https://www.courseseeker.edu.au/courses/advanced-diploma-of-live-production-and-management-services-TISCEDALP,TISCEDALP,,,,,,,WAAPA,-31.91823000,115.86846200,2021,,2235-EA,EA,2235
Australian College of Theology,https://www.courseseeker.edu.au/institutions/australian-college-of-theology,Advanced Diploma of Ministry,https://www.courseseeker.edu.au/courses/advanced-diploma-of-ministry-UACADVDIPM20,UACADVDIPM20,,,,,,,Brisbane School of Theology,-27.48047100,152.97807900,,,4335-BS,BS,4335
Australian College of Theology,https://www.courseseeker.edu.au/institutions/australian-college-of-theology,Advanced Diploma of Ministry,https://www.courseseeker.edu.au/courses/advanced-diploma-of-ministry-UACADVDIPM20,UACADVDIPM20,,,,,,,Ridley College,-37.78360670,144.95548550,,,4335-RC,RC,4335
Australian College of Theology,https://www.courseseeker.edu.au/institutions/australian-college-of-theology,Advanced Diploma of Ministry,https://www.courseseeker.edu.au/courses/advanced-diploma-of-ministry-UACADVDIPM20,UACADVDIPM20,,,,,,,Mary Andrews College,-33.87363000,151.20560700,,,4335-MA,MA,4335
