College name,College url,Establishment year,Total students,Course total students,Institution code
Academy of Interactive Entertainment,https://www.courseseeker.edu.au/institutions/academy-of-interactive-entertainment,,,135.0,7028.0
AIM Business School,https://www.courseseeker.edu.au/institutions/aim-business-school,,,,
Academies Australasia Polytechnic,https://www.courseseeker.edu.au/institutions/academies-australasia-polytechnic,1908.0,,0.0,6022.0
Academy of Information Technology,https://www.courseseeker.edu.au/institutions/academy-of-information-technology,,1231,0.0,7124.0
ACER Institute,https://www.courseseeker.edu.au/institutions/acer-institute,1930.0,38,,
ACPE Limited,https://www.courseseeker.edu.au/institutions/acpe-limited,1917.0,261,265.0,4352.0
Academy of Interactive Entertainment Institute,https://www.courseseeker.edu.au/institutions/academy-of-interactive-entertainment-institute,,,0.0,6067.0
Acknowledge Education,https://www.courseseeker.edu.au/institutions/acknowledge-education,,,,
Adelaide Institute of Higher Education,https://www.courseseeker.edu.au/institutions/adelaide-institute-of-higher-education,,13,0.0,6055.0
Adelaide Central School of Art,https://www.courseseeker.edu.au/institutions/adelaide-central-school-of-art,,51,0.0,4395.0
Academy of Music and Performing Arts,https://www.courseseeker.edu.au/institutions/academy-of-music-and-performing-arts,,49,40.0,4388.0
Adelaide College of Divinity,https://www.courseseeker.edu.au/institutions/adelaide-college-of-divinity,,53,,
Asia Pacific International College,https://www.courseseeker.edu.au/institutions/asia-pacific-international-college,,,0.0,4456.0
Alphacrucis College,https://www.courseseeker.edu.au/institutions/alphacrucis-college,,1166,,
Australian College of Applied Professions,https://www.courseseeker.edu.au/institutions/australian-college-of-applied-professions,,756,468.0,4336.0
Australasian College of Health and Wellness,https://www.courseseeker.edu.au/institutions/australasian-college-of-health-and-wellness,,238,0.0,4453.0
Australian College of Christian Studies Ltd,https://www.courseseeker.edu.au/institutions/australian-college-of-christian-studies-ltd,,27,27.0,4347.0
Australian Catholic University,https://www.courseseeker.edu.au/institutions/australian-catholic-university,,8207,4458.0,3006.0
Australian College of Nursing Ltd,https://www.courseseeker.edu.au/institutions/australian-college-of-nursing-ltd,,1548,0.0,4464.0
Australian College of Theology,https://www.courseseeker.edu.au/institutions/australian-college-of-theology,,592,0.0,4335.0
Australian Institute of Business,https://www.courseseeker.edu.au/institutions/australian-institute-of-business,,,,
"Australian Film, Television and Radio School",https://www.courseseeker.edu.au/institutions/australian-film-television-and-radio-school,,83,,
Australian Guild of Music Education Inc.,https://www.courseseeker.edu.au/institutions/australian-guild-of-music-education-inc.,,9,0.0,4382.0
Australian Institute of Music,https://www.courseseeker.edu.au/institutions/australian-institute-of-music,,354,167.0,4343.0
Australian National Institute of Management and Commerce,https://www.courseseeker.edu.au/institutions/australian-national-institute-of-management-and-commerce,,107,0.0,4415.0
BBI - The Australian Institute of Theological Education,https://www.courseseeker.edu.au/institutions/bbi---the-australian-institute-of-theological-education,,,,
Avondale University,https://www.courseseeker.edu.au/institutions/avondale-university,1897.0,257,0.0,2252.0
